Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,ATSI,Yrs In Designation As ATSI
2025,18,"State Public Charter School Authority ",50432.1,Amplus Rainbow ES,SPCSA,98,5,YES,74.3,71.6,38.6,YES,YES,NO,NO,71.8,63,67.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.7,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",51430.1,Founders ACAD ES,SPCSA,43,2,NO,43.9,45.1,20.7,YES,YES,NO,NO,49.5,33.7,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.2,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",51430.2,Founders ACAD MS,SPCSA,62.5,3,NO,44.1,38.2,47.5,YES,YES,NO,NO,41.6,35.5,26,80.2,N/A,N/A,N/A,N/A,N/A,N/A,7.4,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",51430.3,Founders ACAD HS,SPCSA,80,4,NO,65.6,21.8,38.7,YES,YES,NO,NO,N/A,N/A,35.7,N/A,88.5,69.6,15.1,62.1,>95,>95,7.9,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",52429.2,Leadership ACAD MS,SPCSA,61.1,3,NO,49.5,28.9,30.4,YES,YES,YES,NO,51.8,25.3,-,82.4,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",52429.3,Leadership ACAD HS,SPCSA,75.5,4,NO,56.6,40,36.5,YES,YES,NO,NO,N/A,N/A,-,N/A,86.3,26.9,19.2,94.4,90,87.5,<5,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",54428.1,Learning Bridge ES,SPCSA,19.4,1,NO,23.7,25.8,<5,YES,YES,NO,NO,42.1,24.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.2,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",54428.2,Learning Bridge MS,SPCSA,70.5,4,NO,50,38.8,50,YES,YES,NO,NO,49,45,-,94.4,N/A,N/A,N/A,N/A,N/A,N/A,23.2,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",55200.1,Doral Cactus  ES,SPCSA,97,5,NO,72.3,72.3,27.6,YES,YES,NO,NO,65.8,65.8,68.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.3,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",55200.2,Doral Cactus  MS,SPCSA,98.3,5,NO,79.1,63,65.5,YES,YES,NO,NO,82.2,63.8,-,>95,N/A,N/A,N/A,N/A,N/A,N/A,7.7,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",55201.1,Doral Fire Mesa ES,SPCSA,84.5,5,YES,65.4,58,16.3,YES,YES,NO,NO,70,60.5,41.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.7,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",55201.2,Doral Fire Mesa MS,SPCSA,99,5,YES,71.7,59.2,57.7,YES,YES,NO,NO,75.3,64.4,42.8,>95,N/A,N/A,N/A,N/A,N/A,N/A,8,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",55202.1,Doral Red Rock ES,SPCSA,92.5,5,NO,77.5,75.6,50.3,YES,YES,NO,NO,75,65.7,65.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.1,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",55202.2,Doral Red Rock MS,SPCSA,86.5,5,NO,76.2,59.3,56.9,YES,YES,NO,NO,76.6,59.8,20,94.1,N/A,N/A,N/A,N/A,N/A,N/A,9.4,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",55202.3,Doral Red Rock HS,SPCSA,89,5,NO,83.3,33.3,20.1,YES,YES,NO,NO,N/A,N/A,38.8,N/A,99.3,82.4,65.2,62.3,>95,>95,17.1,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",55203.1,Doral Saddle ES,SPCSA,91,5,NO,71.9,69.9,20.5,YES,YES,NO,NO,68.6,56.9,80.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A
